time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-12-31T19:09:31.700Z,36.1511,-97.6653,6.059,3.2,ml,,29,,0.14,us,us1000bykk,2018-03-17T01:54:40.040Z,"21km ENE of Hennessey, Oklahoma",earthquake,1.2,4.1,,,reviewed,tul,tul
2017-12-30T15:51:46.000Z,35.0041,-97.6442,7.963,2.5,ml,,47,,0.6,us,us1000by72,2018-03-17T01:54:39.040Z,"14km S of Blanchard, Oklahoma",earthquake,1.1,5.1,,,reviewed,tul,tul
2017-12-30T08:14:28.600Z,36.153,-97.6593,6.945,2.8,ml,,33,,0.17,us,us1000by20,2018-03-17T01:54:39.040Z,"22km ENE of Hennessey, Oklahoma",earthquake,1.3,2,,,reviewed,tul,tul
2017-12-30T08:10:16.700Z,36.1531,-97.6638,7.58,2.9,ml,,33,,0.17,us,us1000by1w,2018-03-17T01:54:39.040Z,"21km ENE of Hennessey, Oklahoma",earthquake,1.2,5.4,,,reviewed,tul,tul
2017-12-30T04:13:24.200Z,36.7203,-99.3909,6.216,3.2,ml,,171,,0.81,us,us1000bxzq,2018-03-17T01:54:39.040Z,"24km ESE of Buffalo, Oklahoma",earthquake,4.6,6.6,,,reviewed,tul,tul
2017-12-29T22:14:25.200Z,36.2194,-97.2634,7.697,2.6,ml,,24,,0.23,us,us1000bxwx,2018-03-17T01:54:38.040Z,"8km SSE of Perry, Oklahoma",earthquake,0.9,4.3,,,reviewed,tul,tul
2017-12-29T12:52:39.100Z,36.1544,-97.6646,5.361,2.5,ml,,27,,0.19,us,us1000bxnb,2018-03-17T01:54:38.040Z,"21km ENE of Hennessey, Oklahoma",earthquake,0.9,2.9,,,reviewed,tul,tul
2017-12-29T10:27:05.700Z,36.1538,-97.6678,5.007,2.5,ml,,30,,0.21,us,us1000bxlj,2018-03-17T01:54:38.040Z,"21km ENE of Hennessey, Oklahoma",earthquake,0.8,3.7,,,reviewed,tul,tul
2017-12-29T06:05:49.800Z,36.1541,-97.6685,5,2.6,ml,,31,,0.23,us,us1000bxij,2018-03-17T01:54:38.040Z,"21km ENE of Hennessey, Oklahoma",earthquake,1.2,2.5,,,reviewed,tul,tul
2017-12-29T06:03:26.900Z,36.1532,-97.6685,5,2.7,ml,,30,,0.21,us,us1000bxig,2018-03-17T01:54:38.040Z,"21km ENE of Hennessey, Oklahoma",earthquake,0.7,2.3,,,reviewed,tul,tul
2017-12-29T05:21:54.500Z,36.1554,-97.668,5.396,2.7,ml,,27,,0.27,us,us1000bxhw,2018-03-17T01:54:38.040Z,"21km ENE of Hennessey, Oklahoma",earthquake,1.2,5.2,,,reviewed,tul,tul
2017-12-29T04:45:00.000Z,36.1543,-97.671,5.644,3.8,mwr,,27,,0.28,us,us1000bxhi,2018-03-29T10:33:06.984Z,"21km ENE of Hennessey, Oklahoma",earthquake,1.1,3.6,0.058,29,reviewed,tul,us
2017-12-28T20:11:14.100Z,35.4215,-97.024,5.133,3.7,ml,,37,,0.3,us,us1000bx99,2018-04-22T09:06:25.875Z,"6km ESE of McLoud, Oklahoma",earthquake,1.3,2.7,,,reviewed,tul,tul
2017-12-27T04:37:40.400Z,36.9086,-97.3513,1.682,2.6,ml,,74,,0.41,us,us1000bwl4,2018-03-17T01:54:36.040Z,"13km NNW of Blackwell, Oklahoma",earthquake,1.3,1.8,,,reviewed,tul,tul
2017-12-27T03:22:08.300Z,36.8184,-97.6097,5.811,2.9,ml,,55,,0.2,us,us1000bwkp,2018-03-17T01:54:36.040Z,"11km E of Medford, Oklahoma",earthquake,0.8,2.6,,,reviewed,tul,tul
2017-12-26T07:46:56.400Z,36.5372,-98.9652,6.67,2.9,ml,,148,,0.36,us,us1000bw9v,2018-03-17T01:54:35.040Z,"24km ENE of Mooreland, Oklahoma",earthquake,2.1,5.8,,,reviewed,tul,tul
2017-12-24T12:04:27.500Z,36.7382,-97.7206,7.998,2.5,ml,,44,,0.18,us,us1000bvm0,2018-03-17T01:54:33.040Z,"7km S of Medford, Oklahoma",earthquake,0.8,8.5,,,reviewed,tul,tul
2017-12-21T08:12:10.600Z,35.8913,-97.2854,6.209,2.5,ml,,28,,0.21,us,us1000bu9m,2018-03-14T00:58:25.040Z,"6km SSW of Langston, Oklahoma",earthquake,1.5,4.2,,,reviewed,tul,tul
2017-12-21T08:05:26.300Z,35.8917,-97.2867,6.946,3.1,ml,,28,,0.26,us,us1000bu9g,2018-03-14T00:58:25.040Z,"6km SSW of Langston, Oklahoma",earthquake,1.3,6.3,,,reviewed,tul,tul
2017-12-21T04:22:24.600Z,35.8931,-97.2909,7.171,3.5,ml,,19,,0.26,us,us1000bu65,2018-03-14T00:58:25.040Z,"6km SSW of Langston, Oklahoma",earthquake,1.1,1.2,,,reviewed,tul,tul
2017-12-21T03:45:14.900Z,35.8905,-97.2839,5.237,2.6,ml,,28,,0.24,us,us1000bu57,2018-03-14T00:58:25.040Z,"6km SSW of Langston, Oklahoma",earthquake,1.1,4.1,,,reviewed,tul,tul
2017-12-20T22:50:20.200Z,35.8789,-97.2984,6.188,2.7,ml,,30,,0.24,us,us1000bu1k,2018-03-14T00:58:24.040Z,"8km SSW of Langston, Oklahoma",earthquake,1.4,6.3,,,reviewed,tul,tul
2017-12-20T06:00:02.200Z,36.15,-97.6687,5.047,3.5,ml,,25,,0.15,us,us1000btiu,2018-03-14T00:58:24.040Z,"21km ENE of Hennessey, Oklahoma",earthquake,0.8,2.1,,,reviewed,tul,tul
2017-12-19T23:58:02.500Z,36.1513,-97.6721,5,3,ml,,57,,0.22,us,us1000btet,2018-03-14T00:58:23.040Z,"20km ENE of Hennessey, Oklahoma",earthquake,1.2,3.8,,,reviewed,tul,tul
2017-12-19T18:59:50.000Z,36.9635,-99.3674,2.516,2.5,ml,,200,,0.53,us,us1000bt8n,2018-03-14T00:58:23.040Z,"27km ENE of Buffalo, Oklahoma",earthquake,1.6,5.7,,,reviewed,tul,tul
2017-12-19T16:57:27.300Z,36.153,-97.6706,5,3.2,ml,,22,,0.17,us,us1000bt62,2018-03-14T00:58:23.040Z,"21km ENE of Hennessey, Oklahoma",earthquake,1.4,3.2,,,reviewed,tul,tul
