API,Lat,Lon,WellTy,TotDep,FormName,ITDepth,IBDepth,Vol_2017,Vol_2016,Vol_2015,Vol_2014,Vol_2013,Vol_2012,Vol_2011,Pres_2017,Pres_2016,Pres_2015,Pres_2014,Pres_2013,Pres_2012,Pres_2011,2DCm,2DNC,2R,2RIn,2RSI,Arb,Bart,Booch,Bromide,Burgess,Calvin,Chase,Cisco,Clev,Crom,Deese,Dutcher,Gilcrease,Healdton,Hoxbar,Hunton,Layton,Loco,Morrow,Penn,Permian,Pont,Prue,Red,Simp,Skinner,Tatums,Viola,Wil,n_wells5,n_wells10,vol_wells5_2017,vol_wells10_2017,vol_wells5_2016,vol_wells10_2016,vol_wells5_2015,vol_wells10_2015,vol_wells5_2014,vol_wells10_2014,vol_wells5_2013,vol_wells10_2013,vol_wells5_2012,vol_wells10_2012,vol_wells5_2011,vol_wells10_2011,n_eq3_20,n_eq4_50
3500300026,36.900324,-98.21826,2RIn,5012.0,CHEROKEE,4921.0,4938.0,17799.0,7876.0,5375.0,10165.0,14818.0,21606.0,6887.0,975.0,0.0,500.0,662.5,645.8333333333334,950.0,262.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,38,9307377.0,45710110.0,13583892.0,59120937.0,18018238.0,86459789.0,23423598.0,101760637.0,27860613.0,101012101.0,17835376.0,62702905.0,3698362.0,26741423.0,12,0
3500300163,36.896636,-98.17772,2RIn,5060.0,REDFORK,4984.0,4994.0,8188.0,9276.0,12401.0,12097.0,12114.0,11901.0,13609.0,200.0,183.33333333333334,200.0,200.0,200.0,220.83333333333334,220.83333333333334,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,27,7343865.0,32502952.0,10159951.0,41413396.0,14953606.0,54915862.0,17323523.0,67885169.0,16049753.0,78409091.0,9145585.0,52308640.0,42446.0,20376159.0,14,1
3500320145,36.504849,-98.43324,2DCm,6700.0,COTTAGE GROVE,5150.0,5590.0,0.0,0.0,20742.0,52241.0,58524.0,195526.0,95059.0,0.0,0.0,134.75,177.5,0.0,0.0,137.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,733146.0,743197.0,795894.0,808245.0,1010498.0,1019610.0,1585566.0,1595369.0,722907.0,738791.0,195526.0,216757.0,95059.0,108163.0,7,1
3500320929,36.96241,-98.519482,2DNC,6498.0,ARBUCKLE,6318.0,6324.0,0.0,0.0,1641.0,8358.0,12899.0,2043.0,4352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,5474517.0,18823565.5,6509690.0,22558323.0,7138988.0,28408004.0,4705625.0,25358122.0,7545459.0,25957973.0,7406394.0,27452358.0,5698772.0,15683216.0,3,0
3500321074,36.888589,-98.31853,2RIn,5932.0,REDFORK,4958.0,4972.0,0.0,0.0,0.0,0.0,7414.0,5794.0,22481.0,0.0,0.0,0.0,0.0,0.0,0.0,1475.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,37,25988847.0,51188795.0,33911340.0,69148710.0,52162588.0,102529867.0,57028816.0,101755448.0,41368541.0,84848686.0,11510719.0,39004193.0,357886.0,12057808.0,13,0
3500321081,36.890316,-98.18333,2RIn,5118.0,REDFORK,4986.0,4999.0,0.0,0.0,10767.0,10433.0,10449.0,10276.0,10925.0,0.0,0.0,250.0,250.0,250.0,300.0,287.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,25,12167947.0,31082503.0,16938215.0,39939355.0,23646501.0,53183609.0,26678856.0,66873299.0,27783999.0,73161351.0,13972147.0,45404004.0,42446.0,19751089.0,14,1
3500321107,36.892128,-98.19462,2RIn,4986.0,REDFORK,4930.0,4941.0,7879.0,8800.0,11729.0,11372.0,11399.0,11274.0,11025.0,250.0,229.16666666666666,250.0,250.0,250.0,250.0,250.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,31,11398541.0,37829855.0,15973685.0,48009387.0,22359121.0,69696311.0,27560838.0,83412543.0,27684704.0,82587676.0,13107983.0,52312656.0,642917.0,20445303.0,14,0
3500321242,36.591824,-98.46356,2RIn,6203.0,RED FORK,6057.0,6066.0,36500.0,36600.0,0.0,4128.0,4128.0,2748.0,2748.0,1500.0,1200.0,0.0,1000.0,1000.0,1000.0,1000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,13,1201946.0,5974570.0,36600.0,4752891.0,0.0,12148362.0,8256.0,8812575.0,8256.0,8276361.0,6996.0,5624230.0,5496.0,1910309.0,14,1
3500321328,36.674104,-98.51565,2DNC,7322.0,PERMIAN,2560.0,2610.0,9158.7,33975.490000000005,45452.780000000006,92709.94,49270.0,28601.0,84312.0,650.0,650.0,650.0,650.0,660.0,162.5,620.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,20,8849787.7,30760847.7,10472897.49,47270944.49,9128125.78,58533120.78,9825594.94,51342855.94,9059872.0,39496263.0,9018936.0,28929092.0,7224857.0,19759547.0,13,1
3500321342,36.857775,-98.32979,2DNC,5824.0,MISSISSIPPI LIME,5112.0,5126.0,0.0,0.0,0.0,11500.0,18706.0,27224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,34,21137668.0,51368575.0,28035311.0,64109849.0,43683744.0,93424913.0,42304722.0,92295808.0,21216483.0,67832838.0,2068193.0,20907666.0,667986.0,1721691.0,18,0
